n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
80	920.152	79.19382	710	1223	787	809	824	853	871	891	912	933	959	989	1021	1063	1081
81	932.614	84.17649	708	1301	776	800	827	859	886	911	931	950	973	999	1044	1070	1097
82	956.208	84.4558	737	1312	799	830	854	882	903	928	950	973	999	1027	1068	1102	1120
83	977.468	83.59182	766	1252	815	844	873	902	932	953	975	995	1019	1049	1092	1122	1138
84	995.075	90.16218	764	1355	819	851	884	920	944	966	991	1014	1038	1066	1108	1156	1176
85	1015.439	90.8586	739	1308	836	874	901	938	965	991	1012	1037	1060	1092	1133	1168	1185
86	1037.857	88.01124	811	1344	873	901	931	963	988	1009	1033	1057	1078	1107	1157	1197	1220
87	1052.207	94.79363	787	1389	883	910	935	966	998	1020	1045	1072	1098	1130	1177	1214	1245
88	1080.417	96.4636	819	1459	909	933	957	995	1028	1051	1077	1101	1128	1161	1207	1242	1272
89	1095.44	95.06293	852	1494	916	947	981	1015	1040	1068	1089	1111	1139	1172	1216	1260	1293
90	1118.917	102.7769	870	1514	928	958	992	1034	1060	1087	1113	1136	1167	1200	1253	1300	1335
91	1141.682	102.6449	864	1476	948	977	1007	1049	1083	1112	1139	1172	1196	1225	1276	1307	1332
92	1154.61	101.0053	867	1483	966	996	1026	1070	1100	1124	1150	1174	1205	1241	1287	1326	1358
93	1182.385	105.6898	891	1548	979	1016	1049	1091	1131	1153	1179	1204	1231	1265	1309	1363	1402
94	1200.192	109.8265	902	1592	1000	1035	1063	1103	1136	1165	1196	1223	1253	1289	1343	1400	1417
95	1225.927	112.1221	892	1653	1014	1050	1082	1135	1168	1196	1218	1247	1278	1316	1370	1424	1455
96	1241.89	112.995	959	1629	1040	1069	1103	1143	1179	1203	1231	1263	1297	1340	1398	1439	1469
97	1263.707	113.7424	943	1696	1056	1092	1125	1168	1199	1226	1255	1287	1318	1353	1408	1453	1497
98	1291.406	113.7465	1016	1828	1070	1108	1145	1195	1228	1260	1288	1319	1347	1381	1434	1480	1518
99	1308.719	117.2031	992	1763	1086	1128	1165	1211	1244	1273	1299	1333	1367	1404	1466	1515	1534
100	1334.211	123.7998	1003	1748	1112	1145	1181	1224	1260	1296	1327	1354	1394	1439	1495	1548	1588
101	1358.088	123.2112	1057	1802	1130	1169	1201	1249	1288	1323	1351	1386	1415	1454	1517	1581	1606
102	1368.834	122.7305	1011	1855	1151	1183	1214	1256	1299	1329	1360	1393	1429	1471	1524	1580	1620
103	1400.827	123.6836	1066	1860	1169	1213	1246	1295	1330	1364	1394	1426	1458	1500	1563	1616	1654
104	1418.294	123.4048	1098	1856	1185	1228	1267	1311	1349	1380	1408	1443	1482	1526	1578	1620	1663
105	1452.088	129.1301	1102	1927	1216	1244	1290	1337	1373	1418	1449	1484	1515	1564	1620	1664	1697
106	1463.543	133.8324	1109	2009	1208	1253	1293	1352	1388	1426	1454	1488	1530	1573	1633	1690	1734
107	1491.457	127.2388	1138	1885	1260	1302	1341	1381	1415	1449	1481	1517	1552	1596	1664	1712	1748
108	1516.579	141.0066	1146	2130	1260	1297	1341	1399	1437	1474	1506	1545	1582	1627	1703	1758	1797
109	1539.858	141.0691	1094	1991	1284	1325	1366	1420	1461	1494	1532	1568	1607	1651	1733	1786	1829
110	1550.61	139.9917	1159	2035	1295	1328	1374	1433	1471	1512	1539	1573	1615	1667	1735	1793	1834
111	1575.649	139.4156	1205	2115	1320	1368	1408	1460	1495	1529	1566	1601	1640	1687	1758	1821	1866
112	1608.327	144.9200	1226	2148	1336	1372	1425	1489	1533	1566	1598	1635	1674	1732	1797	1852	1892
113	1624.815	147.7368	1220	2067	1344	1392	1444	1493	1539	1576	1616	1659	1700	1746	1822	1886	1915
114	1651.592	142.0042	1260	2095	1386	1426	1470	1527	1571	1609	1644	1680	1722	1772	1836	1905	1941
115	1674.436	152.0647	1240	2326	1389	1439	1484	1546	1590	1630	1665	1704	1746	1804	1873	1918	1967
116	1706.748	155.1877	1344	2349	1430	1474	1519	1572	1614	1656	1696	1735	1780	1835	1916	1971	2029
117	1716.861	157.9166	1217	2336	1423	1476	1524	1578	1628	1672	1711	1754	1790	1844	1918	1985	2046
