n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
41	195.9506	25.03897	138.3185	283.9789	149.7064	156.9459	163.9573	174.224	180.4106	187.6539	194.8435	201.3703	208.5186	217.821	229.6214	238.6001	244.1147
42	203.5526	25.86897	136.7479	281.0836	153.7043	163.8811	171.1286	180.953	188.7671	195.3458	202.9015	208.7103	216.3261	225.4063	238.1533	246.6739	255.0235
43	212.5953	27.02382	144.1111	304.3123	163.0153	170.7981	178.247	189.3515	197.5095	204.5336	211.6507	217.7567	225.0467	234.5933	249.6718	259.8115	266.7021
44	218.4618	28.41449	143.4573	320.0312	164.0213	172.3224	181.8791	193.9794	203.438	209.8928	217.0599	224.96	233.2102	241.785	255.5602	266.8314	272.5876
45	226.6046	29.12887	155.3963	344.929	171.6508	179.1033	189.7999	201.5688	210.6656	219.4448	225.7609	232.5812	240.254	250.104	262.3204	276.3802	284.5909
46	234.8988	31.41131	141.8027	348.8839	177.1553	188.117	196.6138	207.3741	216.444	225.2754	232.5188	241.0892	249.0161	261.2049	276.6153	292.6517	298.4912
47	241.8757	32.37288	165.1363	355.5756	184.3149	192.3746	202.1336	214.8814	223.0202	230.3345	238.4198	246.5035	256.2187	270.917	288.5689	299.5363	306.2091
48	252.4469	33.06879	164.9576	362.33	193.2434	199.7398	210.2546	223.6314	233.4416	241.6195	251.0518	259.2586	268.1194	280.2838	295.9121	312.5956	319.5059
49	261.7967	34.32958	182.0055	396.6106	198.897	208.7439	218.5589	231.7197	242.1074	250.5913	259.461	267.8806	277.9065	289.9345	308.3115	321.7421	331.9187
50	270.6430	36.51004	179.6664	386.9018	203.8038	214.581	224.6686	238.8996	249.904	258.2886	267.2003	277.5554	289.4909	302.8399	320.6493	332.7356	339.6999
51	278.1078	35.5878	190.9974	392.7391	211.8584	221.6845	232.7531	247.7014	257.7479	266.3156	275.2453	286.332	296.7895	308.1136	323.4161	338.2336	349.9257
52	286.9608	37.11345	196.9873	409.756	219.8431	229.3207	241.1638	255.5073	264.3558	274.1314	283.3637	293.4348	304.9656	319.7499	336.9496	349.6513	363.23
53	296.0092	39.92844	195.1	457.0055	223.8348	237.331	248.5759	261.4689	272.5069	283.0477	292.2738	302.6516	313.5953	327.4324	346.6554	366.7315	381.2663
54	303.8114	39.376	218.2499	446.5076	231.0152	243.1563	253.0455	268.2107	280.7152	291.2113	303.1914	312.1874	324.0432	336.5784	355.6515	370.6386	380.7571
55	314.681	42.1255	192.125	457.2789	240.3747	250.5993	262.3052	277.604	290.7439	301.6123	312.7203	323.017	334.2783	347.6636	368.3449	391.5431	401.4449
56	320.5984	41.86284	213.3799	498.6532	246.0061	257.0039	268.3785	284.5206	295.4776	307.5955	318.3269	330.2363	339.2226	354.8563	375.132	392.3965	405.1864
57	331.4658	44.82963	211.9387	491.4123	251.6148	264.2991	275.0782	291.9658	305.6894	317.8144	328.0335	338.9366	352.7577	369.2127	390.1538	409.9829	421.3621
58	341.3006	45.43306	236.1271	501.6782	256.4683	269.8073	284.0088	301.4449	316.1281	328.3352	337.8461	349.0745	363.7142	379.8263	401.0935	420.9002	431.9641
59	350.3688	47.40722	232.0862	517.5094	263.5147	278.4493	293.8843	310.8279	323.2893	334.1167	345.9393	358.1313	371.1954	388.1314	410.061	434.7459	452.3561
