n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
64	27780.78	1294.014	23136	32991	24861	25521	26105	26805	27222	27544	27864	28123	28435	28721	29306	29847	30214
65	29149.04	1303.729	23611	32983	25887	26854	27468	28151	28585	28958	29226	29518	29781	30131	30678	31178	31617
66	30471.04	1421.361	24117	36485	27096	27930	28640	29431	29925	30261	30533	30803	31122	31514	32199	32761	33040
67	31906.7	1382.666	27120	36167	28834	29538	30147	30799	31261	31656	31999	32289	32553	32951	33572	34141	34499
68	33455.49	1446.326	27572	37754	29988	30744	31601	32358	32836	33244	33549	33855	34189	34589	35212	35678	36028
69	34925.01	1532.504	27678	40757	31463	32321	33049	33755	34225	34607	34949	35281	35658	36058	36706	37442	37958
70	36469	1592.778	30006	43087	32636	33731	34419	35307	35818	36195	36526	36869	37267	37706	38312	38825	39153
71	38159.28	1617.327	31896	43383	34292	35362	36106	36944	37500	37882	38236	38587	38941	39379	40036	40619	41046
72	39727.48	1746.304	31092	45395	35548	36630	37436	38515	39032	39502	39876	40194	40559	41030	41744	42503	42728
73	41481.79	1834.545	35326	48243	37412	38205	39090	40002	40675	41157	41612	41964	42420	42934	43718	44339	44933
74	43238.65	1764.169	35661	48461	39589	40315	40991	41851	42429	42864	43267	43715	44127	44685	45332	45990	46568
75	44949.26	1934.426	36853	53562	40558	41456	42435	43474	44105	44636	45018	45448	45892	46410	47306	48103	48536
76	46873.43	1975.338	38665	54872	42543	43478	44445	45385	46003	46522	46924	47347	47815	48396	49255	50035	50503
77	48787.72	2031.652	39731	56084	43955	45137	46161	47351	47979	48464	48874	49267	49780	50344	51188	51903	52374
78	50667.49	2071.907	42041	56252	45684	47210	48133	49156	49741	50276	50806	51295	51760	52289	53142	53891	54378
79	52679.7	2082.417	43842	60238	47901	49007	50138	51063	51725	52322	52834	53271	53709	54319	55144	55863	56255
80	54783.32	2361.789	44458	64522	49119	50735	51971	53012	53843	54365	54862	55368	55954	56573	57500	58505	59200
81	57023.42	2199.882	48210	65157	52383	53478	54310	55313	55890	56494	57060	57599	58073	58791	59713	60659	61119
82	59038.67	2310.800	48387	65723	53696	55162	56163	57298	58052	58594	59110	59607	60135	60787	61663	62757	63404
83	61300.52	2464.137	53282	68559	55827	56788	58096	59368	60195	60875	61429	61910	62449	63241	64332	65260	65922
84	63479.6	2398.139	53166	72097	57898	59354	60429	61580	62354	63070	63634	64238	64746	65403	66392	67094	67562
85	65893.92	2434.458	56179	72759	60327	61687	62706	64030	64829	65432	65978	66527	67135	67919	68914	69759	70273
86	68231.83	2746.233	56462	78703	61490	63572	64793	66232	67053	67770	68320	69043	69634	70435	71489	72484	72910
87	70605.04	2594.930	60594	81119	64346	66180	67363	68622	69588	70208	70796	71286	71796	72500	73602	74496	75226
88	73192.97	2680.844	62911	81955	67075	68511	69577	71152	72035	72851	73308	73874	74411	75197	76383	77407	78234
89	75603.4	2874.671	64039	83247	69197	70811	71873	73379	74371	75107	75729	76446	77081	77872	79048	80070	80904
90	78313.19	3131.072	66442	87946	70394	72950	74500	76070	76931	77783	78515	79090	79778	80750	82045	83349	84023
91	80991.18	3174.167	67659	91027	73531	75319	76973	78648	79707	80393	81197	81825	82590	83476	84634	85787	86618
92	83808.97	3037.805	72753	93600	77047	78479	79799	81349	82457	83195	83929	84606	85356	86264	87729	88649	89447
93	86505.12	3293.086	74395	98153	79104	80834	82138	84016	85071	85990	86690	87376	88177	89072	90576	91738	92559
94	89487.08	3272.274	77771	100115	82161	83697	85174	87112	88036	88883	89583	90408	91047	91836	93415	94891	95682
95	92220.23	3388.952	80102	102903	84165	86264	87746	89513	90812	91735	92503	93260	93928	94858	96206	97412	98491
96	95262.13	3453.220	80307	107502	87220	89588	91066	92621	93749	94655	95352	96125	96964	97923	99462	100665	101577
97	98453.76	3583.309	83262	110070	90746	92198	93886	95711	96867	97826	98597	99298	100105	101134	102748	104391	105195
98	101463.9	3723.132	90083	117096	92814	95251	96785	98717	99849	100717	101376	102205	103079	104370	106073	107728	108268
99	104845.5	3624.456	88932	117024	97231	98981	100349	102002	102981	104149	104985	105709	106562	107708	109169	110770	111782
100	107824.4	3870.729	91968	122115	98518	101184	102984	105061	106310	107189	107952	108849	109546	110640	112382	114092	115017
101	111091.2	3846.626	93605	123000	102147	104424	105953	107978	109436	110550	111316	112184	113186	114270	115633	117120	117587
102	114506.9	4068.084	98122	129120	105306	107537	109214	111419	112770	113768	114609	115567	116667	117756	119569	120762	121406
103	117842.3	4152.603	100869	131637	108115	110537	112631	114713	116080	117215	118212	119001	119778	120984	122788	124391	125279
104	121313.0	4222.21	105172	136284	111144	114178	116049	118075	119442	120418	121328	122302	123354	124649	126425	128144	129076
105	125113.9	4266.5	105137	138592	115458	117533	119800	121937	123256	124437	125345	126210	127263	128446	130159	131748	132612
106	128603.9	4555.974	109169	146148	117616	121147	123001	125064	126920	127986	128932	129861	130726	131975	133905	135340	136081
107	132263.5	4562.709	112681	147758	121589	124227	126436	128812	130497	131637	132586	133573	134361	135692	137825	139505	140130
108	136013.5	4896.998	115580	151751	124040	128031	129777	132530	134124	135328	136164	137281	138412	139705	141588	143271	144831
109	139905.6	4568.07	123646	156051	129847	131813	134069	136337	137935	139108	140273	141219	142096	143402	145167	147191	148313
110	143975.4	5109.845	123256	165827	131722	135191	137510	140310	141762	143147	144300	145256	146381	147900	149987	151756	152809
111	147779.2	5038.424	130094	164542	136035	138964	141272	143919	145658	146906	148043	149062	150103	151683	153963	155531	157170
112	152135.6	5238.064	132617	166425	140473	143160	145572	147964	149864	151268	152279	153347	154520	156110	158613	161050	162569
113	156219.9	5162.464	138375	172761	144971	147130	149703	152327	153906	155180	156317	157483	158738	160448	162502	164455	166061
114	160322.1	5527.316	140383	179637	147644	150449	153288	156040	158127	159286	160520	161888	163112	164736	166898	169054	170155
115	164751.3	5456.637	136120	188073	152395	155368	157609	160520	162545	164171	165183	166360	167367	168872	171136	172775	174304
116	168728.3	5904.454	140399	191102	154816	158697	161318	164191	166620	168056	169175	170459	171564	173194	175403	177525	178646
117	173205.4	5659.307	152973	193513	160305	163080	165982	168871	170915	172236	173252	174535	175849	177585	180392	182221	183230
118	178257.9	5740.48	153320	195028	164984	168603	170970	174019	175764	177160	178549	179770	180932	182698	185140	187275	188673
