n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
72	2004.578	74.96157	1746	2176	1824	1856	1902	1946	1974	1995	2013	2032	2049	2067	2091	2112	2125
73	2067.53	72.55618	1784	2278	1889	1934	1970	2010	2036	2058	2079	2091	2109	2127	2150	2173	2188
74	2128.922	72.99633	1846	2303	1949	1991	2029	2075	2097	2118	2138	2153	2171	2191	2217	2234	2244
75	2181.776	76.63208	1895	2357	2007	2042	2082	2116	2147	2171	2190	2207	2225	2247	2273	2298	2307
76	2246.439	79.39538	1936	2447	2050	2100	2145	2184	2213	2233	2252	2274	2294	2315	2340	2364	2376
77	2308.632	79.39978	2027	2510	2115	2166	2201	2247	2274	2293	2312	2336	2356	2378	2404	2420	2432
78	2369.52	85.43413	2047	2584	2162	2208	2252	2303	2335	2360	2380	2400	2420	2443	2465	2491	2506
79	2432.398	88.79939	2089	2639	2200	2257	2318	2366	2399	2424	2445	2462	2484	2505	2532	2561	2570
80	2499.572	84.52252	2171	2682	2283	2343	2388	2433	2467	2494	2511	2527	2547	2570	2597	2618	2631
81	2565.534	87.63374	2203	2799	2357	2408	2442	2492	2528	2553	2576	2597	2616	2639	2670	2696	2709
82	2630.915	86.36073	2269	2873	2411	2473	2518	2566	2594	2617	2641	2662	2681	2705	2734	2749	2762
83	2696.671	96.0264	2377	2929	2467	2520	2565	2620	2658	2684	2707	2730	2753	2778	2809	2834	2848
84	2765.743	95.33987	2397	3031	2527	2590	2638	2694	2728	2754	2777	2799	2819	2844	2876	2904	2919
85	2838.654	100.3079	2494	3073	2599	2649	2699	2756	2796	2827	2852	2878	2899	2923	2953	2981	2998
86	2902.639	102.4605	2527	3141	2641	2703	2763	2825	2864	2892	2915	2937	2961	2989	3021	3047	3061
87	2971.45	103.0906	2606	3277	2712	2769	2827	2895	2929	2958	2982	3007	3032	3057	3091	3116	3133
88	3039.256	107.5418	2616	3308	2759	2826	2891	2961	3001	3028	3057	3080	3100	3126	3160	3189	3203
89	3112.015	109.3452	2667	3354	2830	2906	2971	3035	3070	3098	3124	3148	3174	3202	3237	3267	3284
90	3188.65	110.9021	2756	3462	2913	2988	3039	3103	3140	3174	3203	3230	3256	3284	3317	3340	3359
91	3261.379	115.8281	2831	3505	2966	3030	3099	3171	3212	3246	3277	3307	3331	3358	3394	3424	3438
92	3343.55	114.506	2889	3642	3060	3121	3188	3253	3299	3332	3359	3389	3412	3441	3474	3501	3518
93	3414.334	118.6514	2963	3655	3112	3178	3253	3325	3370	3403	3431	3456	3483	3514	3551	3582	3602
94	3486.632	117.377	3043	3759	3189	3258	3322	3398	3442	3472	3502	3528	3558	3585	3619	3649	3665
95	3566.05	119.9993	3070	3868	3239	3333	3408	3485	3523	3555	3586	3607	3636	3661	3697	3732	3743
96	3642.523	128.2317	3168	3958	3311	3380	3473	3551	3595	3630	3662	3690	3717	3746	3785	3813	3830
97	3718.12	134.8719	3167	4008	3379	3457	3528	3617	3670	3704	3735	3769	3800	3829	3868	3895	3917
98	3794.307	139.3802	3297	4108	3444	3526	3601	3689	3738	3775	3810	3845	3875	3911	3956	3994	4021
99	3883.47	139.0926	3325	4224	3504	3613	3681	3786	3841	3875	3908	3938	3965	3999	4032	4062	4076
100	3955.617	134.9671	3436	4257	3599	3701	3775	3856	3903	3943	3978	4010	4040	4067	4106	4135	4159
101	4047.979	140.3854	3470	4386	3674	3767	3867	3941	3998	4037	4069	4099	4130	4166	4204	4234	4247
102	4133.689	136.0486	3608	4451	3793	3867	3961	4034	4079	4116	4149	4176	4208	4250	4290	4330	4360
103	4205.513	146.5891	3607	4549	3847	3927	3993	4096	4152	4196	4229	4256	4292	4322	4368	4412	4434
104	4300.375	145.7698	3801	4678	3923	4015	4110	4191	4240	4280	4318	4357	4390	4423	4468	4502	4519
105	4381.29	151.8586	3776	4754	4010	4103	4169	4260	4324	4366	4406	4434	4472	4508	4554	4589	4612
106	4468.554	150.812	3866	4841	4096	4186	4265	4357	4406	4447	4486	4521	4559	4600	4643	4671	4702
107	4553.746	148.9203	4007	4950	4194	4271	4333	4438	4502	4543	4573	4611	4643	4677	4715	4761	4785
108	4646.661	160.9279	4088	5013	4253	4316	4429	4522	4585	4631	4672	4705	4741	4780	4829	4870	4896
109	4734.611	163.4126	4139	5084	4312	4410	4507	4619	4681	4715	4750	4790	4826	4867	4926	4965	4998
110	4818.257	167.2476	4120	5207	4379	4520	4604	4697	4748	4793	4834	4878	4916	4953	5017	5052	5078
111	4916.69	171.825	4285	5303	4474	4576	4682	4783	4849	4901	4946	4983	5017	5060	5112	5154	5170
112	5014.796	166.5359	4392	5411	4582	4687	4789	4898	4952	4999	5045	5076	5111	5149	5195	5231	5267
113	5103.967	172.4449	4449	5514	4665	4773	4869	4972	5035	5093	5132	5166	5203	5246	5291	5343	5364
114	5197.753	170.077	4564	5590	4745	4860	4972	5082	5139	5176	5222	5257	5297	5339	5390	5427	5452
115	5288.05	184.4127	4647	5720	4788	4909	5048	5154	5227	5276	5321	5355	5391	5436	5498	5537	5561
116	5388.79	172.8402	4693	5825	4971	5059	5158	5268	5327	5367	5407	5442	5487	5537	5589	5630	5661
117	5484.722	184.2972	4677	5897	5015	5136	5237	5348	5406	5466	5514	5550	5597	5633	5691	5738	5765
118	5571.494	189.8928	4869	6046	5091	5228	5317	5424	5495	5542	5599	5644	5687	5732	5794	5829	5849
119	5665.621	188.6453	4891	6038	5187	5297	5413	5524	5606	5649	5695	5735	5772	5821	5878	5920	5951
120	5774.954	194.8606	5009	6223	5248	5400	5525	5626	5702	5758	5804	5850	5895	5940	5995	6029	6044
121	5868.857	197.1203	5159	6312	5376	5506	5612	5710	5789	5844	5897	5945	5985	6038	6095	6137	6168
122	5971.287	199.4044	5182	6454	5418	5588	5705	5833	5892	5943	5996	6047	6087	6139	6193	6239	6275
123	6065.496	201.5371	5302	6532	5564	5679	5796	5907	5981	6039	6092	6140	6183	6234	6303	6348	6374
124	6174.663	205.6263	5288	6612	5635	5773	5901	6014	6095	6157	6204	6249	6295	6345	6415	6457	6488
125	6277.34	207.8352	5527	6771	5716	5868	5984	6122	6209	6269	6314	6353	6401	6447	6508	6550	6586
126	6382.191	219.677	5609	6921	5817	5958	6076	6219	6291	6366	6417	6465	6515	6562	6628	6675	6711
127	6487.944	221.3362	5682	6985	5915	6049	6167	6325	6403	6471	6522	6579	6626	6670	6727	6784	6812
128	6588.029	215.2149	5813	7103	6021	6169	6302	6426	6503	6572	6620	6665	6717	6770	6831	6880	6903
129	6694.2	232.0216	5805	7155	6050	6206	6390	6549	6623	6680	6734	6774	6828	6882	6942	7000	7031
130	6801.02	232.8223	5941	7286	6200	6354	6474	6621	6713	6783	6844	6893	6943	6989	7062	7112	7135
131	6904.582	233.9552	6083	7504	6296	6442	6591	6727	6807	6882	6938	6986	7040	7092	7174	7226	7271
132	7021.655	245.8084	6098	7581	6400	6540	6688	6833	6927	7006	7067	7111	7161	7218	7298	7360	7388
133	7127.641	242.4869	6184	7756	6516	6658	6817	6942	7038	7103	7165	7220	7271	7329	7394	7441	7480
134	7228.484	250.7384	6265	7879	6576	6756	6893	7045	7135	7205	7260	7319	7377	7439	7512	7564	7600
135	7357.634	251.4658	6366	7929	6683	6846	6999	7175	7282	7343	7401	7454	7506	7562	7636	7688	7720
136	7468.632	251.5124	6499	8016	6805	6989	7121	7284	7377	7449	7512	7567	7617	7676	7747	7805	7837
137	7578.435	247.4819	6552	8123	6975	7114	7240	7394	7487	7556	7616	7671	7722	7777	7862	7915	7950
138	7702.184	262.0154	6604	8367	7066	7192	7327	7511	7608	7684	7742	7805	7859	7921	7984	8053	8095
139	7812.394	258.0262	6771	8411	7146	7326	7477	7621	7715	7792	7852	7912	7969	8022	8099	8146	8166
140	7924.695	267.1627	6838	8473	7232	7416	7548	7726	7839	7914	7965	8023	8081	8144	8229	8280	8319
141	8026.862	281.779	6860	8645	7283	7488	7656	7813	7922	8006	8080	8138	8195	8255	8332	8397	8444
142	8150.417	266.6008	7193	8854	7467	7636	7757	7955	8063	8138	8192	8255	8304	8361	8439	8520	8562
143	8274.149	277.9264	7282	8889	7588	7726	7871	8074	8177	8255	8323	8386	8436	8498	8593	8639	8698
144	8388.637	285.3087	7284	9095	7653	7842	8006	8173	8292	8368	8442	8498	8556	8618	8696	8769	8812
145	8520.893	279.0838	7471	9124	7784	7994	8126	8315	8421	8506	8568	8625	8691	8750	8821	8888	8926
146	8613.98	299.9335	7404	9262	7839	8041	8196	8382	8503	8585	8660	8727	8793	8866	8952	9025	9062
147	8742.319	294.1821	7663	9364	7974	8149	8325	8535	8640	8718	8785	8845	8926	8980	9073	9141	9177
148	8890.401	289.7487	7784	9571	8180	8325	8503	8655	8771	8863	8934	9001	9072	9132	9221	9288	9322
149	9007.154	297.9072	7867	9603	8145	8391	8620	8800	8915	8990	9060	9117	9175	9243	9333	9396	9434
150	9120.118	306.1522	7948	9862	8268	8543	8717	8891	9004	9097	9174	9237	9288	9365	9468	9537	9581
151	9261.38	308.5482	8004	9904	8414	8661	8831	9042	9149	9250	9312	9379	9441	9520	9595	9662	9702
152	9374.156	329.7159	8083	10198	8500	8679	8901	9143	9266	9354	9432	9502	9576	9650	9730	9803	9839
153	9490.131	335.926	8183	10181	8615	8813	9027	9230	9375	9469	9558	9625	9698	9770	9863	9928	9972
154	9644.776	325.3933	8350	10534	8829	9049	9197	9403	9523	9624	9697	9770	9844	9908	9997	10068	10115
155	9743.817	331.1165	8353	10395	8892	9087	9285	9487	9630	9728	9805	9873	9945	10021	10103	10172	10205
156	9882.958	335.3069	8563	10621	8971	9225	9389	9635	9766	9868	9941	10016	10080	10151	10256	10335	10380
157	10004.34	340.345	8676	10681	9096	9311	9529	9765	9868	9965	10060	10131	10202	10289	10390	10456	10500
158	10138.17	348.6718	8771	10826	9162	9430	9664	9893	10021	10112	10192	10267	10347	10427	10520	10585	10615
159	10276.48	348.36	8740	11032	9404	9610	9790	10018	10152	10240	10336	10417	10484	10564	10648	10730	10799
160	10409.23	348.9628	9174	11227	9485	9726	9938	10146	10271	10372	10461	10535	10613	10706	10799	10887	10940
161	10528.11	376.9311	9060	11277	9558	9795	9984	10252	10397	10505	10591	10673	10747	10838	10947	11028	11079
162	10669.32	349.4186	9423	11506	9745	9984	10208	10403	10527	10639	10722	10807	10884	10961	11064	11150	11187
163	10811.94	364.701	9303	11548	9851	10131	10315	10545	10678	10776	10866	10958	11033	11120	11220	11295	11346
164	10946.02	377.7141	9521	11667	9962	10190	10401	10676	10794	10912	11014	11103	11175	11265	11369	11433	11488
165	11089.02	384.4159	9717	12002	10108	10326	10529	10797	10944	11064	11161	11245	11309	11411	11510	11593	11648
166	11207.83	391.8724	9630	12034	10117	10436	10660	10922	11075	11187	11276	11366	11444	11521	11635	11730	11770
167	11354.68	378.1609	9751	12170	10332	10602	10815	11075	11222	11338	11422	11515	11590	11662	11769	11845	11876
168	11520.48	392.8605	10001	12313	10398	10772	11001	11225	11383	11492	11592	11676	11754	11839	11937	12038	12108
169	11645.16	410.026	10063	12466	10528	10815	11081	11327	11517	11627	11724	11809	11885	11970	12095	12177	12236
170	11778.48	415.3739	10240	12632	10695	10926	11163	11475	11637	11765	11864	11948	12034	12116	12229	12308	12357
171	11927.12	406.7885	10187	12779	10785	11154	11358	11642	11792	11910	11992	12081	12166	12261	12372	12459	12526
172	12078.41	400.7378	10404	13059	11090	11283	11503	11768	11937	12061	12152	12232	12329	12415	12515	12587	12635
173	12246.02	400.0415	10610	13232	11178	11443	11710	11979	12110	12215	12312	12412	12481	12577	12686	12749	12795
174	12359.48	419.6313	10611	13209	11230	11499	11767	12059	12211	12323	12433	12528	12611	12706	12836	12908	12964
175	12515.08	422.5112	10930	13390	11327	11710	11942	12205	12353	12488	12602	12697	12773	12864	12977	13052	13109
176	12670.67	424.1397	10851	13546	11517	11808	12113	12367	12551	12660	12746	12825	12922	13012	13122	13216	13266
177	12798.46	428.6435	11064	13856	11665	11955	12228	12480	12643	12756	12870	12974	13071	13159	13273	13353	13396
178	12946.62	440.1331	11161	13823	11813	12077	12345	12604	12787	12928	13035	13122	13214	13316	13424	13515	13578
179	13095.05	458.8162	11448	14018	11839	12146	12449	12795	12966	13076	13182	13270	13361	13460	13602	13693	13737
180	13239.92	462.628	11477	14219	12097	12302	12567	12887	13078	13227	13321	13428	13518	13620	13757	13839	13889
181	13400.37	465.3447	11522	14311	12114	12397	12761	13106	13246	13391	13490	13572	13679	13778	13902	13992	14029
182	13522.34	478.8189	11775	14496	12221	12524	12824	13178	13387	13528	13629	13709	13801	13902	14026	14127	14197
183	13711.03	463.7547	11850	14582	12386	12836	13102	13341	13568	13686	13796	13887	13999	14090	14210	14316	14380
184	13852.17	475.6509	11943	14824	12600	12925	13209	13463	13674	13819	13932	14032	14135	14254	14390	14470	14542
185	14030.52	469.7276	12039	14994	12802	13147	13334	13662	13885	14035	14149	14228	14305	14404	14535	14609	14667
186	14186.47	472.2834	12394	15098	12832	13249	13569	13840	14031	14174	14284	14374	14466	14573	14689	14776	14839
187	14341.89	492.8037	12300	15282	12972	13402	13637	13966	14157	14321	14438	14549	14647	14747	14884	14966	15030
188	14504.92	514.5745	12541	15693	13057	13522	13775	14128	14355	14503	14615	14713	14814	14913	15045	15153	15213
189	14619.88	502.601	12461	15731	13297	13608	13957	14238	14435	14592	14699	14819	14915	15032	15173	15294	15376
190	14777.41	516.3933	12787	15911	13336	13751	14073	14407	14595	14757	14868	14980	15076	15203	15344	15445	15487
191	14962.41	516.2279	12887	16085	13631	13994	14201	14551	14789	14954	15073	15172	15279	15378	15513	15632	15685
192	15119.33	517.5061	13095	16223	13776	14085	14411	14711	14950	15088	15213	15340	15446	15544	15673	15775	15829
193	15271.43	516.8441	13083	16404	13813	14245	14520	14900	15110	15235	15372	15475	15579	15687	15827	15954	16014
