n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
80	683.707	60.53392	554	972	598	611	621	636	648	660	670	683	701	726	766	797	831
81	696.525	62.10748	560	987	605	618	632	647	660	672	684	699	713	740	779	815	831
82	708.524	63.20269	594	1033	618	628	642	660	673	684	695	709	727	751	788	832	859
83	719.967	60.9823	589	1017	629	643	656	671	682	694	708	723	743	763	799	834	870
84	732.582	63.31681	593	1024	638	652	664	682	694	707	721	736	755	777	812	844	873
85	743.46	64.88965	619	1184	650	661	675	690	704	717	732	748	766	787	831	866	902
86	757.562	65.03933	634	1046	662	674	689	705	719	732	746	761	778	802	838	886	912
87	771.05	67.99827	599	1084	672	686	698	716	732	745	757	772	792	820	859	908	937
88	782.607	64.73372	640	1083	678	694	713	729	745	757	770	787	804	829	873	905	936
89	795.131	68.8158	657	1151	694	709	723	740	753	769	780	797	818	843	887	933	963
90	803.593	67.37748	677	1202	706	720	733	750	764	776	789	802	825	852	893	932	960
91	820.023	67.55008	679	1139	723	735	748	767	780	795	807	824	842	865	902	947	981
92	836.171	73.43983	698	1207	734	746	758	775	791	805	823	841	861	890	932	965	1001
93	841.741	69.12545	706	1214	739	752	768	787	801	813	826	843	864	892	936	973	1000
94	854.891	70.06211	726	1183	753	766	779	799	813	829	842	857	876	904	950	982	1009
95	866.818	73.51405	735	1254	762	777	790	807	822	834	852	870	892	922	965	1007	1042
96	880.936	75.1608	736	1235	772	788	801	821	835	851	866	881	902	932	986	1027	1063
97	898.401	78.99318	745	1274	788	804	814	834	849	865	882	900	923	955	1007	1059	1097
98	910.628	78.95969	756	1254	797	809	825	845	860	878	896	914	938	969	1022	1061	1088
99	916.332	71.73236	780	1227	813	827	843	859	872	884	901	919	941	967	1012	1054	1089
100	932.784	76.75819	783	1261	819	837	849	872	888	902	917	936	958	986	1037	1079	1119
101	950.336	83.94236	798	1343	838	849	864	884	899	915	929	948	974	1010	1067	1126	1151
102	957.01	80.94097	790	1319	845	858	873	893	910	924	940	958	980	1012	1066	1119	1150
103	975.2	80.4655	808	1346	857	872	888	910	926	942	960	980	1001	1038	1085	1133	1164
104	984.853	83.0303	837	1361	861	881	896	918	937	952	968	987	1011	1040	1101	1146	1181
105	1001.893	85.64614	848	1443	878	896	910	931	948	965	984	1007	1027	1060	1117	1177	1215
106	1010.839	86.02454	842	1493	889	903	917	941	959	975	994	1018	1039	1070	1122	1172	1213
107	1028.528	88.64296	871	1522	904	916	934	959	976	992	1009	1032	1055	1093	1142	1200	1235
108	1040.984	91.05581	878	1537	913	934	951	972	990	1007	1022	1042	1061	1092	1157	1221	1274
109	1052.592	90.77207	879	1564	931	947	963	982	1000	1015	1030	1053	1079	1111	1169	1231	1277
110	1064.765	92.30792	873	1552	936	953	971	991	1011	1027	1045	1064	1090	1120	1185	1257	1302
111	1082.937	91.96284	908	1481	951	967	986	1009	1026	1046	1064	1086	1110	1144	1213	1264	1304
112	1094.439	90.8365	922	1582	964	983	1000	1024	1040	1057	1075	1096	1119	1157	1210	1273	1315
113	1103.272	90.05973	904	1549	974	993	1008	1030	1049	1067	1086	1104	1131	1169	1220	1270	1306
114	1118.488	98.78027	945	1719	984	998	1014	1040	1058	1077	1097	1117	1142	1187	1252	1324	1354
115	1127.49	90.3217	947	1578	994	1016	1031	1055	1074	1091	1110	1131	1158	1191	1248	1312	1340
