n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
79	1016.808	118.3676	760	1492	811	843	873	918	949	974	1004	1039	1071	1108	1170	1235	1257
80	1034.282	119.8992	724	1527	823	859	889	928	964	998	1029	1055	1092	1128	1186	1233	1281
81	1057.737	124.2299	793	1610	872	891	920	951	980	1009	1038	1068	1103	1155	1221	1295	1343
82	1068.411	121.3377	802	1553	862	896	930	970	994	1024	1051	1081	1124	1161	1226	1286	1345
83	1096.395	135.0739	785	1743	871	901	938	986	1018	1055	1084	1111	1146	1194	1277	1329	1382
84	1118.115	127.9971	813	1692	897	935	962	1006	1047	1077	1105	1135	1172	1219	1289	1335	1396
85	1143.34	131.1124	857	1717	934	961	996	1039	1065	1098	1127	1156	1195	1234	1323	1383	1438
86	1160.869	132.6604	866	1724	937	972	1009	1051	1082	1111	1144	1178	1212	1266	1335	1408	1450
87	1184.483	134.7025	849	1814	950	993	1030	1075	1110	1133	1165	1202	1239	1286	1359	1437	1477
88	1199.878	139.7452	865	1802	963	1004	1033	1082	1116	1147	1185	1219	1262	1314	1382	1455	1498
89	1227.686	143.3395	860	1853	975	1019	1060	1109	1148	1180	1211	1244	1289	1341	1407	1474	1516
90	1247.759	147.9806	884	2006	1015	1043	1080	1123	1162	1197	1232	1267	1306	1351	1428	1507	1564
91	1273.63	141.2059	890	1995	1028	1071	1108	1157	1187	1222	1258	1293	1334	1389	1462	1521	1559
92	1290.931	150.4004	960	1960	1041	1082	1118	1173	1206	1232	1274	1306	1343	1400	1489	1568	1613
93	1320.983	157.7213	897	2108	1043	1096	1136	1190	1231	1271	1304	1341	1390	1441	1515	1589	1652
94	1337.112	155.1226	929	2049	1063	1128	1167	1207	1244	1280	1319	1354	1398	1456	1539	1627	1663
95	1368.183	156.0439	993	2091	1103	1148	1183	1236	1277	1313	1352	1385	1439	1485	1581	1638	1686
96	1403.719	164.1486	1006	2164	1124	1178	1214	1265	1310	1346	1383	1427	1471	1528	1616	1709	1783
97	1417.411	159.6119	1008	2214	1154	1192	1238	1287	1324	1359	1395	1433	1480	1539	1637	1705	1757
98	1445.224	163.3263	1058	2513	1173	1216	1252	1309	1347	1389	1425	1464	1514	1573	1673	1737	1794
99	1456.053	166.5538	979	2388	1174	1226	1266	1325	1364	1396	1436	1478	1521	1574	1668	1760	1828
100	1485.56	171.6729	1005	2129	1200	1236	1279	1342	1381	1424	1467	1515	1561	1622	1718	1790	1859
101	1507.632	170.172	1098	2491	1207	1256	1301	1364	1410	1445	1491	1538	1582	1635	1737	1803	1865
102	1533.339	184.4084	1151	2350	1226	1279	1317	1387	1431	1471	1509	1549	1604	1659	1757	1869	1933
103	1565.079	179.1364	1127	2343	1256	1307	1352	1419	1456	1504	1545	1588	1645	1706	1810	1895	1954
104	1579.908	177.0187	1136	2288	1275	1309	1373	1429	1475	1518	1565	1613	1660	1723	1806	1882	1961
105	1613.003	182.6049	1121	2218	1316	1356	1403	1456	1499	1539	1589	1641	1693	1761	1859	1961	2025
106	1625.898	185.4464	1187	2546	1314	1369	1406	1468	1515	1558	1605	1654	1707	1772	1866	1978	2021
107	1663.085	193.1431	1126	2445	1325	1382	1434	1504	1555	1598	1642	1683	1741	1814	1913	2006	2078
108	1683.506	204.5405	1163	2656	1348	1404	1452	1515	1569	1607	1655	1707	1765	1822	1947	2066	2161
109	1710.254	208.2944	1233	2818	1361	1411	1467	1538	1593	1643	1691	1729	1788	1872	1985	2084	2151
110	1733.014	196.9255	1248	2582	1371	1442	1495	1570	1622	1670	1714	1764	1821	1883	1983	2091	2138
111	1772.148	208.5649	1249	2705	1429	1487	1531	1600	1646	1695	1744	1798	1855	1926	2055	2152	2232
112	1788.762	203.8955	1326	2770	1447	1502	1548	1616	1668	1719	1759	1810	1883	1946	2056	2173	2215
113	1815.109	215.4520	1345	2938	1450	1497	1555	1631	1690	1742	1796	1851	1908	1979	2086	2205	2265
114	1840.907	223.9783	1321	3083	1481	1536	1581	1653	1715	1758	1816	1864	1925	2016	2115	2213	2330
115	1864.503	220.7626	1286	2910	1489	1540	1606	1682	1741	1792	1842	1897	1955	2031	2147	2252	2337
116	1879.982	224.6065	1369	3478	1520	1575	1623	1696	1755	1799	1850	1904	1965	2041	2154	2255	2339
117	1918.456	225.8831	1417	3106	1561	1607	1650	1727	1790	1841	1893	1944	2010	2090	2214	2326	2416
118	1939.055	220.1315	1462	3015	1565	1632	1685	1753	1812	1858	1919	1968	2029	2106	2232	2320	2409
119	1965.204	224.4425	1406	2900	1578	1658	1703	1768	1832	1888	1930	1997	2064	2142	2259	2373	2439
120	1997.714	232.1092	1496	3067	1615	1659	1722	1809	1862	1909	1971	2030	2097	2162	2311	2424	2498
121	2014.67	241.6014	1528	3208	1619	1688	1744	1819	1875	1929	1975	2039	2102	2192	2325	2429	2551
122	2033.36	233.2523	1510	3185	1639	1696	1758	1832	1900	1952	2007	2069	2135	2218	2342	2437	2536
123	2049.777	235.8438	1479	3075	1653	1723	1777	1847	1906	1958	2024	2085	2147	2234	2357	2508	2577
124	2097.937	242.9918	1564	3245	1695	1748	1813	1894	1957	2015	2067	2130	2194	2281	2428	2537	2617
125	2133.701	244.3264	1590	3380	1715	1784	1845	1927	1995	2046	2103	2169	2233	2332	2445	2579	2652
126	2156.455	249.8171	1509	3037	1729	1790	1851	1947	2017	2074	2130	2193	2261	2344	2495	2640	2744
127	2189.574	252.5847	1632	3440	1760	1824	1885	1978	2037	2101	2157	2225	2311	2400	2522	2635	2710
128	2219.849	261.9986	1666	3382	1789	1847	1915	1995	2071	2134	2192	2238	2329	2420	2568	2683	2776
129	2232.915	268.655	1619	3369	1767	1848	1920	2016	2081	2136	2200	2262	2338	2440	2578	2718	2832
130	2278.739	273.3172	1710	4001	1827	1896	1974	2057	2122	2183	2249	2310	2373	2468	2612	2767	2895
131	2297.205	271.1674	1694	3586	1837	1911	1987	2073	2145	2202	2266	2322	2397	2485	2652	2787	2925
132	2325.457	272.8598	1589	3608	1864	1925	2010	2095	2165	2237	2300	2367	2437	2547	2670	2816	2915
133	2356.706	276.0828	1773	4141	1891	1959	2045	2131	2200	2268	2324	2386	2461	2558	2719	2857	2971
134	2378.817	282.1657	1731	3648	1935	2004	2056	2142	2212	2280	2340	2403	2483	2587	2774	2908	3008
135	2408.814	281.1233	1750	3950	1917	2023	2082	2172	2246	2316	2369	2441	2528	2634	2775	2892	2988
136	2447.345	300.3134	1666	3735	1951	2026	2097	2205	2287	2347	2414	2487	2556	2657	2840	2963	3107
137	2473.389	292.5271	1785	3717	1980	2063	2135	2229	2299	2366	2435	2508	2583	2704	2876	3009	3115
138	2523.017	307.4092	1806	4095	2027	2085	2166	2273	2350	2413	2479	2550	2654	2747	2918	3057	3229
139	2530.526	297.6030	1869	4059	2018	2092	2179	2294	2370	2437	2504	2558	2646	2739	2909	3077	3185
140	2564.777	300.9272	1848	3875	2070	2158	2235	2312	2383	2451	2522	2599	2688	2792	2955	3093	3231
141	2578.685	315.5901	1916	4406	2074	2153	2219	2319	2402	2475	2536	2604	2685	2797	2996	3184	3303
142	2597.939	309.7559	1759	4628	2101	2170	2240	2332	2415	2487	2562	2643	2737	2845	2986	3153	3235
143	2653.626	313.0308	1954	3864	2091	2191	2293	2394	2473	2554	2620	2691	2776	2884	3063	3276	3338
144	2659.592	316.4023	1967	4318	2134	2220	2306	2397	2478	2552	2618	2692	2781	2889	3073	3232	3346
145	2719.474	319.3037	1890	4218	2152	2267	2349	2443	2535	2613	2701	2777	2854	2949	3130	3264	3367
146	2727.954	305.8433	1985	4077	2179	2271	2365	2469	2558	2624	2701	2774	2868	2965	3131	3283	3369
147	2758.819	320.8680	2005	4098	2211	2298	2374	2487	2579	2654	2727	2802	2897	2989	3168	3329	3452
148	2811.193	335.1642	1935	4187	2246	2330	2424	2543	2621	2690	2759	2837	2943	3058	3252	3433	3550
149	2832.492	334.8521	2066	4206	2253	2350	2451	2549	2629	2713	2799	2888	2967	3090	3260	3414	3588
150	2864.62	345.9322	2075	4409	2293	2381	2483	2589	2662	2741	2814	2899	2990	3112	3320	3508	3654
151	2900.028	355.62	2066	4637	2316	2412	2495	2613	2689	2773	2857	2930	3026	3167	3370	3540	3672
152	2923.18	349.3754	2091	5027	2328	2428	2511	2636	2728	2799	2882	2968	3073	3175	3397	3545	3631
153	2948.452	349.1588	2096	4441	2358	2450	2541	2665	2748	2826	2909	2992	3074	3198	3398	3592	3710
154	2988.65	353.7987	2177	5448	2392	2480	2570	2690	2780	2864	2956	3051	3161	3261	3434	3560	3714
155	3009.571	332.0413	2230	4326	2423	2515	2610	2722	2817	2906	2984	3074	3154	3259	3433	3602	3700
156	3034.942	350.2314	2173	4831	2445	2541	2637	2753	2833	2910	2985	3073	3180	3308	3495	3667	3777
157	3089.936	351.1056	2306	4436	2484	2571	2666	2787	2882	2964	3051	3146	3248	3371	3568	3729	3828
158	3102.369	372.3407	2202	4866	2441	2566	2660	2805	2900	2978	3056	3153	3267	3377	3573	3738	3927
159	3134.996	373.1117	2291	5157	2520	2610	2714	2840	2927	3005	3080	3181	3285	3408	3595	3807	3967
160	3178.607	381.1779	2359	4782	2566	2650	2730	2840	2953	3047	3131	3230	3333	3474	3685	3846	3973
161	3215.149	390.8227	2288	5725	2561	2664	2770	2912	2991	3083	3172	3263	3373	3512	3693	3870	4060
162	3223.84	365.0119	2349	4563	2588	2677	2793	2915	3018	3099	3184	3275	3371	3522	3719	3905	4025
163	3260.848	375.0604	2450	5112	2620	2730	2821	2937	3039	3131	3225	3312	3427	3541	3745	3927	4014
164	3298.507	366.5716	2372	4733	2671	2762	2848	2990	3076	3170	3269	3356	3463	3605	3770	3946	4059
165	3346.882	409.0194	2410	5316	2675	2797	2895	3024	3102	3207	3292	3380	3478	3634	3901	4108	4238
166	3351.843	400.5962	2437	5369	2667	2766	2876	3024	3127	3218	3309	3412	3508	3661	3853	4015	4235
167	3390.556	401.8953	2399	4917	2688	2793	2917	3056	3160	3249	3358	3457	3566	3703	3894	4084	4321
168	3422.569	402.9604	2409	5400	2759	2862	2950	3088	3187	3283	3377	3475	3575	3706	3959	4172	4277
