n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
41	113.4101	22.34192	63.7495	224.7688	76.5506	81.9207	87.2582	94.4669	100.015	105.3186	110.5124	115.6849	123.0163	130.6139	143.2201	155.0613	161.8116
42	116.1511	22.81723	64.4127	225.1644	76.8765	82.4318	89.4315	97.0979	102.4744	108.4528	114.0395	118.9874	125.702	134.1231	145.7052	156.7992	163.7437
43	121.1347	25.04475	65.1383	231.5448	80.1374	85.6446	92.2442	100.1748	106.2262	112.0803	118.0932	123.8023	131.1183	140.0857	156.0192	167.6812	173.5281
44	123.3646	25.44849	68.2862	229.8043	81.3081	88.7243	94.3451	102.5183	108.4481	113.6486	119.7706	126.0317	133.7423	142.4465	157.8354	169.0207	179.9305
45	126.0941	26.51135	68.3886	242.7797	83.5643	90.2497	96.2237	102.5963	109.6814	115.9828	123.3937	129.7921	136.6309	144.7895	161.6045	176.2498	185.2944
46	132.0472	26.79336	72.5948	256.3045	90.0056	95.2418	100.6777	108.3467	114.8085	121.9303	128.4017	135.6871	144.2879	152.5287	167.329	180.9586	188.7856
47	135.8973	28.19537	73.2803	250.9821	90.3272	98.6154	103.9327	112.1873	119.7163	125.3395	132.2346	138.0688	146.6833	155.2611	173.6174	188.0904	199.8324
48	137.8671	28.26143	75.306	256.0742	93.7177	99.92	105.3992	113.1106	119.9917	126.2775	134.354	142.0493	149.5259	159.424	176.7371	188.3906	200.03
49	141.6167	27.38291	75.6241	275.4306	95.5196	103.7304	109.6586	119.2141	125.9444	131.0153	137.9456	145.3375	152.758	162.8158	177.2569	190.2314	203.7081
50	143.6381	29.93366	81.4801	321.4467	95.3625	101.7743	110.1363	118.6086	125.714	131.7422	138.7804	147.3703	156.0417	167.7558	182.3458	194.959	203.6934
51	147.7626	30.87082	77.2464	305.4505	100.4291	107.042	113.7761	122.3233	128.6818	135.886	142.9755	151.3275	158.7955	171.2454	187.3846	205.7134	215.2882
52	152.986	32.11847	88.4873	305.9886	103.0582	109.0275	115.5422	125.3515	134.8814	142.292	149.1476	157.4357	165.5234	175.4337	192.4682	212.6993	227.7081
53	154.4177	33.11958	87.3842	315.2126	103.1164	111.8526	118.5538	127.1849	133.7685	140.5098	148.1654	156.4033	166.343	179.2652	199.6672	215.3973	233.7092
54	158.6365	32.68312	92.4878	304.0904	106.5505	114.6516	119.8416	130.6216	138.856	147.3567	155.467	162.0957	170.5491	182.3732	199.88	219.5382	235.3359
55	164.495	36.94013	85.7671	354.4404	109.9727	115.8663	123.8709	134.3205	143.2411	150.8045	157.8163	166.5713	177.1243	190.9921	211.5585	232.4091	250.5015
56	166.2863	34.77923	99.544	324.0586	116.0689	120.6068	126.7991	137.1423	145.6365	152.5811	160.8384	169.0444	179.8499	191.4341	210.2142	232.7359	247.8972
57	171.8436	38.18255	96.5557	317.5453	113.3755	121.2312	126.5188	139.5672	148.6069	158.215	167.2124	175.5335	186.6119	200.1674	222.7038	242.5551	259.1544
58	172.5473	33.56201	94.541	345.9118	116.1163	125.2637	132.9398	144.8516	152.9248	161.239	169.3989	177.2597	186.2713	197.9848	214.0327	230.6187	245.5565
59	176.9709	37.12134	103.0146	327.7743	119.3985	126.6136	135.1037	146.949	154.4053	163.6429	171.0935	180.1555	189.7762	203.0099	225.5216	249.6297	264.5997
60	183.5886	40.4091	102.049	417.1379	123.2477	131.2326	138.8524	149.8332	158.8993	167.5231	176.672	186.1881	197.8889	214.737	237.3289	254.9922	269.9481
61	183.9209	36.28277	97.2471	332.5598	124.8439	132.2422	142.2252	153.6099	162.6653	170.1411	179.5801	189.0635	198.6051	211	231.7607	250.4416	267.5967
62	187.132	38.1966	106.986	364.5381	127.0708	134.8777	142.8881	154.9839	165.3844	173.531	182.6143	190.4153	202.5438	213.5345	233.4245	258.3738	271.19
63	191.1714	40.39428	107.3219	421.6349	124.6234	132.5971	143.3492	156.5854	167.7379	176.9378	186.6467	197.6133	208.137	222.4702	244.1803	263.1026	275.5812
64	195.8667	39.87608	111.866	383.0157	130.5029	140.7125	148.7851	161.7467	173.1416	181.6535	190.7144	199.3063	211.4663	224.1629	246.6435	274.3082	282.627
65	200.8537	42.26258	115.3906	396.2222	134.9296	142.72	152.1512	164.5236	176.7229	185.9086	194.651	204.6045	216.0856	232.8798	256.0117	276.6641	295.0763
66	201.3101	41.02009	102.6109	383.3523	133.8133	145.4098	156.0481	168.5527	176.6465	185.6987	195.5658	204.1201	216.6518	231.2445	255.8711	278.8458	297.9581
67	206.2733	43.91873	113.4416	520.6198	136.3158	148.953	157.8227	170.7542	181.2733	191.2302	200	210.554	221.1561	237.1118	261.4957	281.4249	298.3019
68	210.1531	42.86408	121.8483	380.501	141.9472	150.0067	160.9876	175.764	185.0351	194.5559	202.7166	212.9413	225.0311	242.9753	267.8376	293.1859	308.3164
69	212.0636	43.40297	126.6294	454.316	145.0448	151.0828	160.6705	176.0256	186.6655	197.0736	206.0922	215.5528	228.3966	243.479	272.639	295.1373	307.0342
70	216.6379	46.23414	125.8213	471.3449	144.1839	156.5056	162.8558	178.891	188.8677	199.1381	209.9881	220.3157	234.6849	252.3807	279.4674	298.8076	315.7689
71	220.7535	45.41508	124.3342	412.9019	147.8377	157.6325	167.5947	182.9809	194.7023	203.8038	214.0584	224.3167	239.046	255.6658	280.2642	305.4325	322.9148
72	227.3438	49.94766	132.4387	454.3699	152.8103	162.4808	172.3253	187.3633	197.2511	207.1594	217.7154	228.8755	244.4361	265.9944	290.7834	323.6217	348.7578
73	227.836	47.54816	138.1883	522.7571	155.5538	163.7559	173.4474	186.7485	198.9673	211.322	220.3021	233.4566	245.1897	263.5223	291.539	314.5139	325.4674
74	232.9476	50.7535	129.5376	435.2539	157.28	166.0933	177.6063	189.6602	203.6075	213.9883	223.6426	235.1808	249.984	270.0574	298.5816	334.8642	353.7725
75	238.9061	52.64563	137.6227	485.9835	159.5055	173.1733	183.2539	195.6732	207.2173	218.2728	229.6476	241.8719	254.5643	274.4321	306.2287	345.9017	366.2731
76	237.2561	51.07441	144.8102	485.542	158.9339	169.2424	181.48	193.7137	205.1365	217.5937	229.6737	241.456	254.898	272.8663	305.1016	336.8635	358.7395
77	246.0922	52.54783	128.6157	500.6636	163.2758	174.6253	187.4673	203.0345	215.3091	227.2158	238.9393	250.1799	263.6266	284.5997	316.6765	339.7852	363.4446
78	246.8517	50.0051	135.7461	501.1287	169.6113	179.3321	189.6734	203.2634	217.2717	229.2575	241.9876	254.242	266.8726	281.6647	311.4386	337.5915	355.1324
79	256.1337	55.03268	139.2731	553.047	168.8787	182.0714	193.6182	210.7558	224.515	236.8903	248.5498	261.3484	275.0218	293.4331	328.0579	361.1855	379.8868
80	258.7772	57.0663	149.6529	623.3306	168.006	183.2376	197.0228	211.3528	225.5793	237.2636	250.052	264.1079	279.2866	300.3531	329.6346	365.8893	386.9431
81	260.6591	55.474	147.2854	519.6576	172.0378	184	195.4226	213.8153	227.35	240.8319	252.9486	267.4397	281.016	302.4235	333.8817	362.5383	384.3085
82	263.8193	58.95729	151.5388	535.1196	172.4616	186.9251	199.2235	215.6432	227.8969	240.3601	252.9565	266.9719	284.5857	306.9186	338.8967	373.067	399.1992
83	267.8951	57.42219	151.1589	567.5817	176.5786	191.3792	202.1781	220.9932	234.1858	245.0571	258.7025	275.0745	290.0638	312.1939	341.8757	370.0243	394.8126
84	270.0004	58.83237	149.372	600.8319	182.4007	194.8794	206.1456	221.4204	233.5102	247.4975	260.0077	273.1575	288.955	311.4739	346.2745	381.4866	401.0561
85	272.5601	55.46611	160.9441	493.5413	187.366	198.1489	209.2941	225.8849	238.6797	251.1772	263.7575	275.5177	292.2619	314.7968	348.0431	383.4501	400.486
86	276.3107	59.46961	160.3746	603.2993	187.6726	204.3159	215.0047	229.4384	241.5947	252.9684	264.0379	275.8025	295.3269	315.2602	356.5557	389.1915	416.3136
87	279.0146	59.2943	157.7783	630.4998	184.8161	200.3771	214.1028	230.8008	242.8147	256.7431	269.8944	283.2314	299.6097	319.401	359.3063	389.6396	410.9732
88	283.8981	61.49951	168.8105	599.5799	189.4149	204.7315	217.3845	234.4142	246.3148	259.0309	273.9361	286.3232	305.4652	328.2926	366.3932	401.537	424.7022
89	286.5607	61.50085	167.723	588.7648	193.2744	206.1868	219.7271	235.3296	249.2449	263.0019	276.8032	291.964	308.4526	328.8799	367.3527	410.0598	430.3835
90	293.7935	62.23905	157.2736	598.661	194.2704	211.0687	222.7644	240.8236	257.5616	270.7416	284.38	300.6609	316.5912	337.9305	372.9236	414.5648	431.985
91	296.0051	64.40016	160.9658	532.7936	197.722	213.2698	225.1311	241.7726	255.7968	268.561	284.4029	299.9833	319.199	346.5314	383.9961	417.4913	440.6064
92	297.4089	62.00512	170.05	578.2275	202.1188	215.8217	230.404	247.7297	260.1442	273.2014	284.7631	302.0629	319.5841	341.5845	383.3028	413.9746	443.5764
93	304.5735	66.29828	167.4993	793.0328	204.2645	216.9332	231.8728	249.6197	265.3865	280.3944	294.0867	310.6976	331.5705	349.2764	389.1542	423.9304	450.9024
94	308.324	68.64849	179.4631	641.6806	205.8082	217.1106	231.4433	251.4876	268.1697	282.0656	297.0185	313.0863	332.7882	356.6721	396.4316	439.4007	467.7264
95	311.7922	67.10672	180.2554	575.3764	210.7748	221.1425	236.9473	253.4601	270.2388	286.4751	301.899	316.7507	337.5011	361.0152	404.8741	441.8495	468.3524
96	319.2508	71.01467	171.0906	609.2643	209.7284	226.1526	240.1354	260.3824	276.1069	293.1774	309.737	325.5104	344.8884	366.8419	407.1646	460.1011	485.9506
97	323.1234	69.45068	182.4664	629.6563	217.8486	231.5297	244.479	264.3558	280.4158	294.469	310.5656	326.2055	350.3855	376.9111	415.7006	459.5628	485.3669
98	320.5835	71.81001	184.8486	659.8576	212.8239	227.6862	241.6878	262.2804	277.8237	293.9047	306.8126	322.5554	346.0968	372.823	414.8916	453.8568	494.802
99	328.4421	71.11379	199.99	677.4135	220.8008	233.5359	249.3291	268.8661	284.438	302.3905	317.3547	333.6285	355.6332	377.9206	419.4663	464.9226	492.8854
100	334.8595	76.53676	192.1588	823.4865	221.6393	237.5226	250.99	271.4295	291.0258	305.5012	321.0825	340.7066	362.4928	390.6431	434.5043	470.0521	500.6166
101	334.9592	74.80572	190.1973	754.1472	219.9727	240.5868	252.7904	272.8333	288.5498	305.763	322.2468	341.9342	361.7458	387.4945	432.7078	483.0952	509.7176
102	339.2623	74.81923	205.6551	824.1468	233.148	246.9008	258.6117	274.9473	291.8698	309.7903	325.7806	343.7281	363.8502	394.2448	439.3723	474.0865	501.2245
