n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
41	151.1763	20.10857	101.2719	235.6396	114.8651	121.0289	126.3408	133.4016	139.9071	144.9	149.8599	155.1966	160.6736	166.6433	178.1572	186.6762	191.1178
42	154.7302	20.22862	99.5188	226.9714	118.4947	124.1008	129.7921	136.8832	143.0175	148.4587	153.7465	158.7136	164.7149	171.5751	181.4056	189.6049	196.9492
43	159.8322	21.45317	108.4804	235.6608	120.7477	127.2085	133.7236	141.5768	147.2753	152.6761	157.7847	164.128	170.3291	176.8559	188.5577	197.7878	204.3477
44	165.8176	21.81213	109.11	272.5509	125.861	133.3492	139.2982	146.8741	153.3949	159.3769	164.6026	169.6231	176.4823	183.6056	194.1134	204.5849	210.5588
45	170.4036	22.45869	111.4271	259.7037	129.9	136.7406	142.3587	151.0563	157.0478	162.5792	168.1131	174.3101	181.4497	189.4518	200.7586	209.9524	215.3927
46	175.6764	21.91615	120.756	261.9141	135.3514	141.1701	148.0203	156.8566	163.4839	168.8017	174.3789	180.3774	186.1263	192.7926	204.0564	212.2004	216.8018
47	180.0961	22.82228	114.8913	277.6761	139.3844	146.5606	152.3614	160.2748	167.8571	172.6036	177.9719	183.8913	190.945	197.9444	209.3036	220.1409	227.8464
48	184.7174	24.71720	117.3755	281.3539	141.2161	146.6629	154.0974	162.9693	170.5198	176.853	183.641	189.2961	195.8903	203.9975	217.2648	225.373	232.9528
49	188.5501	23.5081	129.7767	285.2017	145.9315	154.4345	159.7248	167.8869	173.7987	180.0889	186.9171	193.3908	200.4096	208.0625	220.8665	228.9148	234.1837
50	193.0409	25.36357	129.9885	291.779	149.7999	154.3114	161.5023	171.2542	178.6729	185.1918	190.3812	197.1345	204.4505	213.6797	226.6363	236.6474	244.3092
51	198.0727	24.624	144.1666	299.0084	154.8806	161.4311	167.1945	176.8841	183.5865	190.0263	196.0153	202.3808	208.5186	217.8073	231.8534	241.814	248.2378
52	203.4227	26.72699	141.8591	301.1511	154.648	163.2483	170.7132	180.1805	187.6992	194.4968	201.4522	207.7258	214.6183	224.98	238.8347	252.5866	258.8301
53	207.7729	26.91120	144.7204	305.8137	157.4357	166.2288	174.0632	183.7063	193.0078	199.945	206.2523	213.5228	220.2907	229.8304	242.0785	254.3855	262.3166
54	212.6458	26.20724	149.2448	312.6596	167.6514	173.554	179.9194	189.7024	197.1395	204.6876	211.3315	217.1889	223.9286	233.1695	247.6388	261.0498	267.1498
55	217.723	27.30796	150.7315	319.1113	168.434	177.2625	183.9891	194.1546	202.2622	208.7534	215.2951	222.6836	231.0022	239.4911	253.3417	265.5334	276.0109
56	223.5085	28.59264	151.2812	328.4646	171.7265	180.4799	190.1762	199.1658	206.4534	213.469	220.1363	228.9672	236.8459	247.0526	262.0134	273.8576	281.3521
57	228.1565	28.90766	159.2043	352.0881	175.4537	183.3085	191.7446	202.6376	212.2734	218.9109	226.0177	233.6664	241.7023	250.5394	265.7066	279.2203	288.8148
58	233.3572	29.43303	161.5518	336.6437	179.4659	186.7806	195.7473	207.9904	217.2694	225.1022	232.153	238.82	246.6455	258.4763	271.5953	283.6441	292.5047
59	236.6221	30.42368	154.3697	357.0658	183.243	190.7826	197.7524	210.9123	219.1301	227.328	234.3843	241.9628	250.9183	260.8179	276.467	292	300.6593
60	243.7438	30.41988	168	381.5259	189.5231	197.0558	206.0364	218.5658	227.7784	233.7691	240.2166	248.7368	256.3689	267.6789	285.0228	296.6648	305.8284
61	247.8224	30.29936	167.4515	354.9704	192.1926	203.1699	209.3179	221.5491	231.0757	237.3773	244.4872	253.3772	263.1615	272.5876	288.6174	299.9633	310.0581
62	252.9780	32.98856	171.3797	388.5743	193.7421	204.125	214.2919	224.145	233.8461	241.8491	249.844	258.631	267.3556	278.293	296.8013	311.4113	321.9224
63	258.5794	30.84063	166.8113	372.9155	204.5923	211.7546	221.1967	231.9655	240.7114	248.3506	255.875	264.0227	272.639	284.9175	300.1833	313.1677	321.6955
64	263.6128	31.86886	177.581	364.7849	206.2717	215.7568	223.4502	235.4761	246.5299	253.4364	261.7575	270.5384	279.249	288.8269	305.7401	319.1567	330.3604
65	268.4032	32.90785	179.0531	390.9834	207.4464	217.2878	227.4775	240.5535	249.916	257.9225	265.9962	274.4668	284.0951	295.2152	311.6889	326.2852	336.2023
66	272.3925	31.77354	189.4756	396.4555	213.8621	222.8609	231.8836	246.0142	254.2341	261.3236	270.2055	278.4654	287.7846	299.7065	314.3819	329.8151	337.3678
