n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
62	372202.5	5888.301	343533	385608	357430	361248	364454	367476	369904	371361	372835	374476	375750	377267	379034	380256	380962
63	396982.7	6526.015	369131	409732	380226	385212	388669	391722	394322	396231	398001	399213	400752	402401	404583	406338	407437
64	423491.9	7021.991	395133	436718	404873	410401	413720	418060	420906	423085	424604	426076	427673	429276	431580	432971	434213
65	451348.9	7589.926	415767	467440	431994	437179	441119	445723	448674	450895	452635	454209	455928	457430	459578	461404	462528
66	481015.8	7409.81	436215	496277	462224	467684	471843	475266	477752	480034	482127	483651	485385	487036	489527	491451	492778
67	511023.1	7727.621	482791	529470	492816	496314	500773	504440	507564	510111	511807	513962	515734	517676	520102	522087	523270
68	542664.1	8283.339	508400	560614	521394	527714	532186	536585	539340	541572	543489	545332	547252	549552	552553	554788	555925
69	576319.5	8642.961	527862	594103	554839	560054	565502	570268	572963	575540	577325	579253	581390	583502	585867	588076	589103
70	611473.7	8915.717	576164	629829	588648	594788	599147	604904	608399	610716	612495	614411	616816	618811	622048	623980	625179
71	647799.2	9852.197	594039	668694	623691	630074	634056	640774	644078	647139	649303	651169	653287	656096	658942	661021	662328
72	685813.2	10061.42	619310	705198	659130	667040	671854	678641	682184	684962	687624	689882	691913	694028	696792	698501	699862
73	725785.8	10618.25	667365	746659	698769	706306	712693	717750	721289	724583	727275	729741	732201	734578	737861	739907	741175
74	767098.2	10900.52	689554	788969	739812	747188	752085	759064	762948	766082	768747	771142	773698	776106	778882	781870	783418
75	810566.5	11215.18	755786	833995	783024	789226	794981	802317	806168	808793	811938	814393	817277	820308	823564	825989	827836
76	854969.4	11259.97	798567	880818	827249	834927	839447	845879	849735	853110	856374	859512	862036	864679	868026	870566	872378
77	901981.5	12225.25	847824	931592	871172	878980	886990	892021	897171	900682	903571	906328	909156	912293	916065	918424	919981
78	951654.6	12423.11	873744	975797	920070	929962	936077	942737	947160	950412	953189	956017	958612	961921	965772	969221	970202
79	1001614	13757.86	930897	1030446	965603	975794	983943	992032	996658	1000631	1003690	1006231	1009756	1012665	1016860	1019845	1021687
80	1054279	13602.37	989539	1082033	1021122	1028766	1035648	1044033	1048833	1053169	1056460	1059226	1062418	1065561	1069523	1072271	1074198
81	1109935	14526.87	1045018	1136832	1070468	1084204	1091273	1099857	1104774	1108395	1111682	1115068	1118600	1122100	1126479	1129130	1130963
82	1166421	14308.64	1100496	1196596	1132171	1140876	1147681	1155891	1160735	1164512	1168473	1171325	1174672	1178283	1182472	1186458	1188872
83	1226168	15269.4	1106516	1257369	1189249	1199039	1206891	1215164	1220539	1224717	1228187	1231782	1234828	1238773	1242695	1246556	1249287
84	1286420	16123.76	1174784	1318044	1242855	1258126	1265846	1275052	1280496	1284714	1288701	1292049	1295856	1299687	1304374	1307561	1310138
85	1349900	16816.43	1267841	1382868	1306399	1320361	1328016	1338111	1343955	1347894	1352019	1356126	1359327	1363134	1369053	1373195	1375495
86	1416118	16787.57	1299642	1449210	1373746	1385035	1394158	1403615	1410490	1414290	1418492	1421851	1425760	1430224	1435123	1438371	1440016
87	1484007	17513.62	1408352	1522249	1436628	1451906	1460605	1471562	1477603	1482419	1486565	1490537	1494385	1498364	1503466	1507192	1508916
88	1554774	18904.18	1469854	1591443	1503149	1517862	1529923	1541405	1548309	1553920	1558107	1561959	1565748	1569984	1575384	1579392	1581929
89	1626867	20243.49	1511458	1667719	1574364	1589285	1601493	1611579	1619013	1624980	1630189	1634972	1638928	1643849	1649441	1653557	1655452
90	1702657	20833.28	1601165	1751881	1645952	1664758	1675094	1686629	1694255	1701075	1706810	1711054	1715548	1720136	1724511	1729256	1732508
91	1781559	19592.63	1635531	1822014	1735237	1747273	1754964	1766584	1773419	1779340	1784200	1789187	1793114	1797556	1804285	1808775	1811870
92	1862876	20096.95	1775180	1904122	1813353	1825482	1834413	1847701	1854260	1861099	1866456	1870251	1874489	1879775	1886147	1890784	1892566
