n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
62	371797.9	5722.77	346741	384206	355767	360988	364674	368038	369965	371274	372632	373794	375018	376346	378027	379106	380457
63	396963.5	6434.436	363139	410136	380892	385093	387852	392095	394668	396695	397933	399334	400992	402238	404053	405416	405982
64	423833.8	6466.622	395462	436816	406772	411152	415167	419101	421602	423448	424872	426315	427769	429240	430913	432268	432986
65	451768.3	6609.714	422679	464497	434645	439111	443119	446713	449326	451231	452930	454352	455680	457246	459222	460542	461163
66	480466.4	7240.713	442889	494116	461559	466585	470644	475290	477830	480061	481997	483312	484826	486344	488517	489906	490789
67	511070.5	7621.124	474829	525597	491356	496732	500779	505430	508324	510587	512429	514125	515371	517294	519427	521308	522186
68	543050.3	8063.89	504848	560891	520190	527845	533082	537272	539995	542442	544141	546062	547897	549713	551884	553556	554953
69	576546.2	8369.476	520485	593244	556084	561880	565768	570320	573486	575757	577722	579833	581558	583209	585695	587589	588490
70	611195.9	8447.063	570015	629566	589156	595537	600037	605115	608205	610517	612529	614403	616139	618388	620478	622371	623217
71	647583.4	9548.2	599479	665438	621198	628248	634681	641054	644805	647283	649558	651482	653163	655165	657471	659499	660679
72	686149.4	9604.148	646078	705608	660477	667441	672713	679620	682671	685204	687241	689645	691949	694342	696994	698967	700168
73	725760	9480.953	655332	747007	701705	707081	713035	718812	722583	725238	727470	729423	730942	733426	736130	738378	739389
74	767069.4	10533.55	716923	788875	737307	747194	753602	759791	763656	766742	768993	771279	773236	775604	778390	779871	781729
75	810629.6	10838.05	743847	831735	779874	790275	797661	803305	806982	809807	812155	814714	817041	819516	821954	824409	825857
76	855948.5	10843.67	802448	876403	825798	835630	842171	848247	852278	854908	857415	860020	862249	864951	868145	870243	871134
77	901914	11727.96	843839	924905	869646	879355	886339	894111	897860	901386	904347	906509	908646	911447	914710	916661	917872
78	950695.7	12913.12	861520	973430	917237	927333	934661	942180	946590	949764	952774	955291	958128	961312	964646	967366	968526
79	1001571	12091.1	949460	1027062	969275	978328	986207	993253	996920	1000818	1003388	1006201	1008613	1011709	1015164	1017392	1018822
80	1054139	12868.42	983159	1081722	1022395	1030073	1036751	1044748	1049966	1052985	1056271	1059031	1061727	1064707	1068165	1070868	1072394
81	1108615	14257.58	1043457	1135222	1068478	1080357	1091140	1098364	1103707	1107904	1111212	1113945	1116875	1120050	1124174	1126892	1129408
82	1165590	14286.61	1103991	1194549	1125771	1138296	1146808	1155275	1160709	1164735	1167795	1171157	1173700	1177385	1180929	1183794	1186119
83	1225161	15379.36	1136951	1255778	1182127	1195267	1206981	1215524	1220194	1224180	1227576	1230716	1233627	1237260	1241547	1244637	1246712
84	1286235	14766.38	1229118	1315830	1244459	1258029	1266332	1275953	1281518	1285085	1288268	1292148	1295286	1298410	1302796	1305135	1307079
85	1349066	15578.71	1284103	1380995	1308059	1320230	1327184	1337964	1343893	1347436	1351120	1355194	1358466	1362097	1366327	1370179	1371828
86	1415891	17131.60	1264416	1448314	1373308	1386505	1395155	1403737	1410465	1414475	1418876	1422158	1425791	1429391	1433842	1437360	1439468
87	1484003	17351.33	1392398	1515540	1438712	1450451	1461989	1471789	1477822	1482570	1486669	1490807	1494578	1498372	1503212	1506941	1508403
88	1555074	17178.3	1436687	1591768	1513100	1521781	1532371	1542360	1548704	1554119	1557828	1561180	1564816	1569374	1574288	1577689	1580055
89	1627323	18402.31	1527944	1664193	1579070	1593175	1602062	1613758	1621182	1626066	1630672	1634702	1637963	1642354	1647146	1651302	1653462
90	1703365	18115.96	1602828	1740906	1657488	1669137	1679313	1689691	1695398	1701467	1705852	1709986	1714476	1718677	1724257	1727785	1728899
91	1781070	19489.15	1664849	1818628	1729554	1743889	1754683	1767220	1774754	1780253	1784365	1788335	1792387	1796898	1801986	1806172	1808670
92	1862208	21192.59	1727951	1906037	1805436	1823211	1833778	1848096	1855139	1861056	1866131	1870924	1874848	1878998	1885479	1888574	1891368
